DIA;PAIS;DEPARTAMENTO;CASOS;MUERTES;CURADOS;MOBILITY_REPORT
6/03/2020;PE;LIMA;1;;;0
7/03/2020;PE;LIMA;5;;;0
9/03/2020;PE;AREQUIPA;2;;;1
10/03/2020;PE;LIMA;2;;;0
11/03/2020;PE;HUANUCO;2;;;3
12/03/2020;PE;ICA;1;;;3
12/03/2020;PE;LIMA;4;;;3
13/03/2020;PE;LIMA;5;;;4
14/03/2020;PE;CUSCO;1;;;5
14/03/2020;PE;LIMA;15;;;5
15/03/2020;PE;LIMA;5;;;6
16/03/2020;PE;LAMBAYEQUE;1;;;13
16/03/2020;PE;LA LIBERTAD;1;;;14
16/03/2020;PE;ANCASH;1;;;11
16/03/2020;PE;CALLAO;2;;;23
16/03/2020;PE;PIURA;2;;;13
16/03/2020;PE;LIMA;21;;;25
17/03/2020;PE;CALLAO;1;;;37
17/03/2020;PE;LAMBAYEQUE;2;;;29
17/03/2020;PE;LIMA;12;;;39
18/03/2020;PE;LORETO;1;;;27
18/03/2020;PE;CALLAO;1;;;40
18/03/2020;PE;LAMBAYEQUE;3;;;32
18/03/2020;PE;LIMA;26;;1;42
19/03/2020;PE;CALLAO;1;;;42
19/03/2020;PE;LA LIBERTAD;1;;;34
19/03/2020;PE;ANCASH;1;;;31
19/03/2020;PE;MADRE DE DIOS;1;;;-58
19/03/2020;PE;LORETO;9;;;30
19/03/2020;PE;LIMA;15;;;45
20/03/2020;PE;LORETO;1;;;30
20/03/2020;PE;AREQUIPA;1;;;41
20/03/2020;PE;ANCASH;1;;;33
20/03/2020;PE;CUSCO;3;;;42
20/03/2020;PE;LIMA;83;3;;47
21/03/2020;PE;LORETO;1;;;27
21/03/2020;PE;ANCASH;1;;;30
21/03/2020;PE;JUNIN;9;;;36
21/03/2020;PE;LIMA;18;1;;38
22/03/2020;PE;CALLAO;1;;;27
22/03/2020;PE;AREQUIPA;1;;;29
22/03/2020;PE;JUNIN;1;;;30
22/03/2020;PE;LAMBAYEQUE;2;;;26
22/03/2020;PE;LORETO;3;;;23
22/03/2020;PE;LA LIBERTAD;3;;;27
22/03/2020;PE;PIURA;16;1;;27
22/03/2020;PE;LIMA;29;;;29
23/03/2020;PE;LORETO;1;;;30
23/03/2020;PE;PIURA;1;;;34
23/03/2020;PE;AREQUIPA;3;;;38
23/03/2020;PE;LIMA;37;;;44
24/03/2020;PE;SAN MARTIN;1;;;
24/03/2020;PE;LIMA;29;;;44
25/03/2020;PE;ICA;1;;;34
25/03/2020;PE;CALLAO;2;;;42
25/03/2020;PE;CUSCO;2;;;39
25/03/2020;PE;AREQUIPA;2;;;38
25/03/2020;PE;TUMBES;3;;;0
25/03/2020;PE;LIMA;15;1;;44
25/03/2020;PE;LA LIBERTAD;;1;;34
26/03/2020;PE;AREQUIPA;1;;;38
26/03/2020;PE;JUNIN;1;;;36
26/03/2020;PE;LA LIBERTAD;1;;;34
26/03/2020;PE;ANCASH;1;;;32
26/03/2020;PE;CAJAMARCA;1;;;32
26/03/2020;PE;LORETO;2;;;28
26/03/2020;PE;CALLAO;2;;;41
26/03/2020;PE;LAMBAYEQUE;4;;;33
26/03/2020;PE;CUSCO;4;1;;39
26/03/2020;PE;LIMA;47;1;;44
27/03/2020;PE;LAMBAYEQUE;1;1;;35
27/03/2020;PE;PIURA;1;;;33
27/03/2020;PE;JUNIN;1;;;37
27/03/2020;PE;ANCASH;1;;;33
27/03/2020;PE;ICA;1;;;34
27/03/2020;PE;PASCO;1;;;-50
27/03/2020;PE;TUMBES;2;;;0
27/03/2020;PE;HUANUCO;2;;;32
27/03/2020;PE;LA LIBERTAD;3;1;;36
27/03/2020;PE;LORETO;5;;;29
27/03/2020;PE;AREQUIPA;5;;;40
27/03/2020;PE;CALLAO;7;;;43
27/03/2020;PE;LIMA;125;2;7;46
27/03/2020;PE;CUSCO;;;5;40
28/03/2020;PE;CALLAO;1;1;;35
28/03/2020;PE;CUSCO;1;1;;38
28/03/2020;PE;LA LIBERTAD;1;;;33
28/03/2020;PE;TUMBES;1;;;0
28/03/2020;PE;ICA;1;;;32
28/03/2020;PE;SAN MARTIN;1;;;
28/03/2020;PE;LAMBAYEQUE;2;;;32
28/03/2020;PE;LORETO;4;;;28
28/03/2020;PE;LIMA;24;2;;37
29/03/2020;PE;PIURA;1;;;28
29/03/2020;PE;JUNIN;1;;;30
29/03/2020;PE;ICA;1;;;28
29/03/2020;PE;SAN MARTIN;1;;;
29/03/2020;PE;TACNA;1;;;29
29/03/2020;PE;AYACUCHO;1;;;
29/03/2020;PE;TUMBES;2;;;0
29/03/2020;PE;LA LIBERTAD;3;;;28
29/03/2020;PE;CALLAO;6;;;27
29/03/2020;PE;CUSCO;6;;;31
29/03/2020;PE;LAMBAYEQUE;7;;;27
29/03/2020;PE;LORETO;25;;;25
